"Protocol","App","ProcessID","Status","Source","Dest","SourceIP","SourcePort","SourcePortRationalized","DestIP","DestPort","DestPortRationalized"
"TCP","svchost.exe","828","ESTABLISHED","151.143.78.74:49154","151.143.61.23:65113","151.143.78.74","49154",,"151.143.61.23","65113",
"TCP","svchost.exe","672","ESTABLISHED","151.143.78.74:135","151.143.61.23:65137","151.143.78.74","135",,"151.143.61.23","65137",
"TCP","svchost.exe","828","ESTABLISHED","151.143.78.74:49154","151.143.61.23:65138","151.143.78.74","49154",,"151.143.61.23","65138",
"TCP","System","4","SYN_SENT","151.143.78.74:54500","172.16.8.42:445","151.143.78.74","54500",,"172.16.8.42","445",
"TCP","System","4","SYN_SENT","151.143.78.74:54501","172.16.8.42:139","151.143.78.74","54501",,"172.16.8.42","139",
"TCP","masvc.exe","1236","CLOSE_WAIT","151.143.78.74:54505","151.143.101.106:443","151.143.78.74","54505",,"151.143.101.106","443",
"TCP","System","4","SYN_SENT","151.143.78.74:54510","172.16.8.39:445","151.143.78.74","54510",,"172.16.8.39","445",
"TCP","System","4","SYN_SENT","151.143.78.74:54511","172.16.8.39:139","151.143.78.74","54511",,"172.16.8.39","139",
"TCP","svchost.exe","672","ESTABLISHED","151.143.78.74:135","151.143.61.23:65172","151.143.78.74","135",,"151.143.61.23","65172",
"TCP","svchost.exe","828","ESTABLISHED","151.143.78.74:49154","151.143.61.23:65173","151.143.78.74","49154",,"151.143.61.23","65173",
"TCP","svchost.exe","672","ESTABLISHED","151.143.78.74:135","151.143.61.23:65270","151.143.78.74","135",,"151.143.61.23","65270",
"TCP","svchost.exe","828","ESTABLISHED","151.143.78.74:49154","151.143.61.23:65271","151.143.78.74","49154",,"151.143.61.23","65271",
"TCP","System","4","SYN_SENT","151.143.78.74:54522","172.16.8.44:445","151.143.78.74","54522",,"172.16.8.44","445",
"TCP","System","4","SYN_SENT","151.143.78.74:54523","172.16.8.44:139","151.143.78.74","54523",,"172.16.8.44","139",
"TCP","svchost.exe","672","ESTABLISHED","151.143.78.74:135","151.143.61.23:65318","151.143.78.74","135",,"151.143.61.23","65318",
"TCP","svchost.exe","828","ESTABLISHED","151.143.78.74:49154","151.143.61.23:65319","151.143.78.74","49154",,"151.143.61.23","65319",
"TCP","svchost.exe","672","ESTABLISHED","151.143.78.74:135","151.143.61.23:65345","151.143.78.74","135",,"151.143.61.23","65345",
"TCP","svchost.exe","828","ESTABLISHED","151.143.78.74:49154","151.143.61.23:65346","151.143.78.74","49154",,"151.143.61.23","65346",
"TCP","svchost.exe","672","ESTABLISHED","151.143.78.74:135","151.143.61.23:65389","151.143.78.74","135",,"151.143.61.23","65389",
"TCP","svchost.exe","828","ESTABLISHED","151.143.78.74:49154","151.143.61.23:65390","151.143.78.74","49154",,"151.143.61.23","65390",
"TCP","System","4","SYN_SENT","151.143.78.74:54535","172.16.8.43:445","151.143.78.74","54535",,"172.16.8.43","445",
"TCP","System","4","SYN_SENT","151.143.78.74:54536","172.16.8.43:139","151.143.78.74","54536",,"172.16.8.43","139",
"TCP","svchost.exe","672","ESTABLISHED","151.143.78.74:135","151.143.61.23:65405","151.143.78.74","135",,"151.143.61.23","65405",
"TCP","svchost.exe","828","ESTABLISHED","151.143.78.74:49154","151.143.61.23:65406","151.143.78.74","49154",,"151.143.61.23","65406",
"TCP","System","4","SYN_SENT","151.143.78.74:54544","172.16.8.37:445","151.143.78.74","54544",,"172.16.8.37","445",
"TCP","svchost.exe","672","ESTABLISHED","151.143.78.74:135","151.143.61.23:65421","151.143.78.74","135",,"151.143.61.23","65421",
"TCP","svchost.exe","828","ESTABLISHED","151.143.78.74:49154","151.143.61.23:65422","151.143.78.74","49154",,"151.143.61.23","65422",
