"Protocol","App","ProcessID","Status","Source","Dest","SourceIP","SourcePort","SourcePortRationalized","DestIP","DestPort","DestPortRationalized"
"TCP","System","4","ESTABLISHED","151.143.3.139:10135","151.143.101.7:445","151.143.3.139","10135",,"151.143.101.7","445",
"TCP","fcag.exe","4136","ESTABLISHED","151.143.3.139:10136","151.143.101.9:135","151.143.3.139","10136",,"151.143.101.9","135",
"TCP","fcag.exe","4136","ESTABLISHED","151.143.3.139:10137","151.143.101.9:1025","151.143.3.139","10137",,"151.143.101.9","1025",
"TCP","[System Process]","0","TIME_WAIT","151.143.3.139:10136","151.143.101.9:135","151.143.3.139","10136",,"151.143.101.9","135",
"TCP","[System Process]","0","TIME_WAIT","151.143.3.139:10137","151.143.101.9:1025","151.143.3.139","10137",,"151.143.101.9","1025",
"TCP","[System Process]","0","TIME_WAIT","151.143.3.139:10138","151.143.51.153:443","151.143.3.139","10138",,"151.143.51.153","443",
"TCP","[System Process]","0","TIME_WAIT","151.143.3.139:10150","151.143.101.13:389","151.143.3.139","10150",,"151.143.101.13","389",
"TCP","[System Process]","0","TIME_WAIT","151.143.3.139:10151","151.143.101.13:389","151.143.3.139","10151",,"151.143.101.13","389",
"TCP","chrome.exe","6616","ESTABLISHED","151.143.3.139:10153","74.125.239.34:443","151.143.3.139","10153",,"74.125.239.34","443",
"TCP","chrome.exe","6616","ESTABLISHED","151.143.3.139:10154","74.125.239.39:443","151.143.3.139","10154",,"74.125.239.39","443",
"TCP","OUTLOOK.EXE","6544","ESTABLISHED","151.143.3.139:10155","134.187.70.207:443","151.143.3.139","10155",,"134.187.70.207","443",
"TCP","fcag.exe","4136","ESTABLISHED","151.143.3.139:10156","151.143.101.9:135","151.143.3.139","10156",,"151.143.101.9","135",
"TCP","fcag.exe","4136","ESTABLISHED","151.143.3.139:10157","151.143.101.9:1025","151.143.3.139","10157",,"151.143.101.9","1025",
"TCP","[System Process]","0","TIME_WAIT","151.143.3.139:10156","151.143.101.9:135","151.143.3.139","10156",,"151.143.101.9","135",
"TCP","[System Process]","0","TIME_WAIT","151.143.3.139:10157","151.143.101.9:1025","151.143.3.139","10157",,"151.143.101.9","1025",
"TCP","[System Process]","0","TIME_WAIT","151.143.3.139:10153","74.125.239.34:443","151.143.3.139","10153",,"74.125.239.34","443",
"TCP","[System Process]","0","TIME_WAIT","151.143.3.139:10154","74.125.239.39:443","151.143.3.139","10154",,"74.125.239.39","443",
